"TIME IN SECS","UPWARD","DOWNWARD","LATERAL"
"5","1.22857142857","1.62857142857","0.0857142857143"
"6","0.914285714286","0.657142857143","0.628571428571"
"7","0.828571428571","1.2","0.285714285714"
"8","1.57142857143","0.971428571429","0.314285714286"
"9","0.485714285714","0.885714285714","0.342857142857"
"10","1.48571428571","1.48571428571","0.4"
"11","1.97142857143","1.57142857143","1.28571428571"
"12","1.17142857143","1.62857142857","1.54285714286"
"13","1.57142857143","1.31428571429","0.885714285714"
"14","1.2","0.828571428571","0.685714285714"
"15","1.6","1.71428571429","0.485714285714"
"16","0.771428571429","0.485714285714","0.714285714286"
"17","1.57142857143","1.42857142857","0.457142857143"
"18","1.57142857143","0.942857142857","0.542857142857"
"19","1.02857142857","0.771428571429","0.857142857143"
"20","1.34285714286","1.31428571429","0.571428571429"
"21","1.62857142857","0.771428571429","0.2"
"22","1.51428571429","1.4","0.885714285714"
"23","1.08571428571","1.22857142857","0.371428571429"
"24","1.25714285714","1.11428571429","0.314285714286"
"25","1.22857142857","0.714285714286","0.228571428571"
"26","2.08571428571","1.6","0.485714285714"
"27","2.28571428571","1.22857142857","0.228571428571"
"28","2.32142857143","0.803571428571","0.0892857142857"
