"TIME IN SECS","UPWARD","DOWNWARD","LATERAL"
"5","0.685714285714","1.2","1.28571428571"
"6","0.342857142857","0.885714285714","0.685714285714"
"7","0.628571428571","0.2","0.971428571429"
"8","0.885714285714","0.857142857143","1.0"
"9","0.657142857143","0.485714285714","1.77142857143"
"10","0.8","0.857142857143","1.17142857143"
"11","0.6","0.857142857143","1.08571428571"
"12","0.857142857143","0.485714285714","1.71428571429"
"13","0.971428571429","1.2","0.857142857143"
"14","1.2","1.02857142857","1.65714285714"
"15","1.42857142857","1.37142857143","2.25714285714"
"16","1.42857142857","1.71428571429","3.77142857143"
"17","0.771428571429","1.14285714286","2.31428571429"
"18","0.771428571429","1.2","1.88571428571"
"19","0.285714285714","0.8","1.02857142857"
"20","0.571428571429","1.42857142857","1.22857142857"
"21","0.742857142857","1.14285714286","0.942857142857"
"22","1.37142857143","1.31428571429","0.914285714286"
"23","0.914285714286","0.342857142857","0.8"
"24","1.05714285714","0.657142857143","0.857142857143"
"25","0.4","0.514285714286","1.57142857143"
"26","1.14285714286","0.314285714286","0.714285714286"
"27","0.657142857143","0.714285714286","0.857142857143"
"28","1.28571428571","0.714285714286","1.64285714286"
