"TIME IN SECS","UPWARD","DOWNWARD","LATERAL"
"5","2.02857142857","1.51428571429","2.37142857143"
"6","1.91428571429","0.571428571429","1.34285714286"
"7","2.4","0.857142857143","1.25714285714"
"8","0.914285714286","1.71428571429","1.2"
"9","1.0","1.31428571429","1.22857142857"
"10","1.68571428571","0.628571428571","1.25714285714"
"11","1.02857142857","1.14285714286","1.11428571429"
"12","0.8","0.857142857143","1.28571428571"
"13","0.142857142857","0.342857142857","0.8"
"14","0.0571428571429","0.0857142857143","0.0571428571429"
"15","0.314285714286","0.371428571429","0.6"
"16","1.17142857143","0.771428571429","1.14285714286"
"17","0.514285714286","0.742857142857","1.02857142857"
"18","0.8","1.0","2.34285714286"
"19","2.37142857143","0.485714285714","1.45714285714"
"20","1.08571428571","1.22857142857","1.68571428571"
"21","1.25714285714","1.05714285714","1.42857142857"
"22","1.45714285714","0.685714285714","2.48571428571"
"23","0.657142857143","0.428571428571","1.08571428571"
"24","0.942857142857","0.685714285714","0.971428571429"
"25","0.6","0.771428571429","1.08571428571"
"26","1.0","1.11428571429","0.885714285714"
"27","1.05714285714","0.314285714286","0.771428571429"
"28","0.555555555556","0.0","0.793650793651"
