"TIME IN SECS","UPWARD","DOWNWARD","LATERAL"
"5","0.542857142857","0.542857142857","0.285714285714"
"6","0.885714285714","1.08571428571","0.514285714286"
"7","1.37142857143","1.2","0.857142857143"
"8","0.8","1.17142857143","0.428571428571"
"9","0.4","1.51428571429","0.714285714286"
"10","0.971428571429","1.34285714286","1.0"
"11","0.571428571429","0.942857142857","0.914285714286"
"12","0.4","0.6","0.542857142857"
"13","0.485714285714","0.657142857143","0.485714285714"
"14","0.0","0.114285714286","0.0"
"15","0.114285714286","0.171428571429","0.0"
"16","0.142857142857","0.2","0.0285714285714"
"17","0.314285714286","0.228571428571","0.0571428571429"
"18","0.314285714286","0.771428571429","1.25714285714"
"19","0.628571428571","0.457142857143","0.6"
"20","0.657142857143","0.4","0.428571428571"
"21","0.285714285714","0.0857142857143","0.371428571429"
"22","0.857142857143","0.685714285714","0.0285714285714"
"23","0.285714285714","0.542857142857","0.228571428571"
"24","0.228571428571","0.4","0.371428571429"
"25","0.342857142857","0.4","0.2"
"26","0.257142857143","0.0857142857143","0.371428571429"
"27","0.228571428571","0.171428571429","0.4"
"28","0.0","0.142857142857","0.142857142857"
