"TIME IN SECS","UPWARD","DOWNWARD","LATERAL"
"5","5.05714285714","5.77142857143","2.94285714286"
"6","8.05714285714","8.91428571429","4.14285714286"
"7","7.85714285714","11.6285714286","3.48571428571"
"8","10.4857142857","7.11428571429","3.57142857143"
"9","12.6857142857","8.17142857143","6.68571428571"
"10","9.45714285714","8.94285714286","4.97142857143"
"11","6.65714285714","6.28571428571","2.88571428571"
"12","8.77142857143","14.8857142857","4.48571428571"
"13","12.5428571429","8.17142857143","4.85714285714"
"14","9.85714285714","7.14285714286","3.68571428571"
"15","5.65714285714","5.05714285714","2.94285714286"
"16","5.82857142857","4.48571428571","2.57142857143"
"17","2.11428571429","3.62857142857","1.97142857143"
"18","3.82857142857","3.42857142857","2.34285714286"
"19","2.91428571429","2.65714285714","2.02857142857"
"20","1.68571428571","4.2","1.25714285714"
"21","3.97142857143","2.34285714286","1.91428571429"
"22","3.14285714286","3.37142857143","2.0"
"23","2.22857142857","2.8","1.94285714286"
"24","1.37142857143","2.45714285714","1.6"
"25","1.77142857143","1.48571428571","1.17142857143"
"26","1.02857142857","1.02857142857","1.14285714286"
"27","1.22857142857","1.51428571429","1.6"
"28","2.06349206349","2.14285714286","1.8253968254"
