"TIME IN SECS","UPWARD","DOWNWARD","LATERAL"
"5","2.62857142857","2.34285714286","3.05714285714"
"6","2.17142857143","2.17142857143","2.57142857143"
"7","2.14285714286","3.31428571429","3.42857142857"
"8","2.97142857143","3.45714285714","2.2"
"9","1.97142857143","2.2","2.31428571429"
"10","2.85714285714","2.17142857143","1.91428571429"
"11","2.77142857143","2.14285714286","2.77142857143"
"12","2.05714285714","2.94285714286","2.94285714286"
"13","2.88571428571","2.71428571429","3.25714285714"
"14","3.82857142857","3.08571428571","2.51428571429"
"15","3.14285714286","2.34285714286","2.17142857143"
"16","2.88571428571","3.25714285714","2.94285714286"
"17","3.74285714286","1.85714285714","3.02857142857"
"18","2.48571428571","2.71428571429","3.05714285714"
"19","3.28571428571","2.82857142857","2.77142857143"
"20","3.05714285714","4.08571428571","2.2"
"21","3.48571428571","3.45714285714","2.88571428571"
"22","4.45714285714","2.8","3.11428571429"
"23","4.14285714286","3.6","3.22857142857"
"24","3.0","3.6","2.08571428571"
"25","3.17142857143","2.25714285714","2.88571428571"
"26","2.65714285714","1.82857142857","2.14285714286"
"27","3.62857142857","2.88571428571","3.48571428571"
"28","2.38095238095","1.74603174603","2.06349206349"
